地域名,センター,燃やすごみ,プラスチック類,ビン類、ペットボトル,新聞・チラシ、埋立ごみ,缶類、ダンボール,書籍/雑誌/冊子、<br>牛乳パック、金属類,その他の紙類
赤江 井越町,B,火 金,水,木3,木4,木1,木2,水2 水4
赤江 今津中央,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 印部町,A ,月 木,水,火1,火2,火3,火4,水1 水3
赤江 内代町,B,火 金,水,木3,木4,木1,木2,水2 水4
赤江 江畑今津町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 上今津町,B,火 金,水,木3,木4,木1,木2,水2 水4
赤江 上坂田町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 越前町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 才下町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 さにーたうん,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 下坂田町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 下の原町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 新坂田町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 住吉町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 竹鼻町,B,火 金,水,木3,木4,木1,木2,水2 水4
赤江 出来須町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 天神原町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 豊島町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 中島町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 灘今津町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 西中津町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 東切川町,B,火 金,水,木3,木4,木1,木2,水2 水4
赤江 東中津町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 福井住宅団地,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 福井町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 別石町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 宮須町第一,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 宮須町第二,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 宮中川町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 山根越町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤江 論田町,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 赤屋上,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 赤屋下,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 上ケ保,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 宇丹波,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 大谷,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 奥之谷,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 共和,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 草野下,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 草野谷,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 久根,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 久之谷,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 才ケ原,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 坂原,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 下組,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 新田谷,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 月坂,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 永江,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 中組,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 仲村,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 原田,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 東組,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 部張,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 本郷上,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 本郷下,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 本郷中,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 水木原,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 見土路,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 矢原上,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 矢原下,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 用土,A,月 木,水,火1,火2,火3,火4,水1 水3
赤屋 六呂坂,A,月 木,水,火1,火2,火3,火4,水1 水3
荒島 青葉町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 旭本町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 安養寺団地,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 猪子塚町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 駅前,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 大西町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 大東町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 上荒島町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 神塚町第一,A,月 木,水,火1,火2,火3,火4,水1 水3
荒島 神塚町第三,A,月 木,水,火1,火2,火3,火4,水1 水3
荒島 神塚町第二,A,月 木,水,火1,火2,火3,火4,水1 水3
荒島 川原町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 久白町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 新田町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 西赤江町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 西旭町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 西荒島町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 西天神町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 西中町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 姥祖父町 ,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 東旭町 ,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 東天神町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 東中町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 東町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 日白町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 松崎町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 御崎町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 南新町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 南天神町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 やなぎケ丘,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 山根町,B,火 金,水,木3,木4,木1,木2,水2 水4
荒島 山根町第二,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 飯梨町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 岩舟町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 植田町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 神庭町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 田頼町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 津田平町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 西松井町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 東飯梨町,B,火 金,水,木3,木4,木1,木2,水2 水4
飯梨 古川町,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 朝日町,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 後田大平,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 大郷,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 上町,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 北之前,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 久才,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 清水掻,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 下町上,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 下町下,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 須山,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 寸次,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 高江,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 多田荒堀,B,火 金,水,木3,木4,木1,木2,水2 水4
井尻 天神,B,火 金,水,木3,木4,木1,木2,水2 水4
